feature,importance_mean,importance_std
elo_differential,0.04350374462666144,0.0011758951973911264
elo_surface_differential,0.035500414090948486,0.000694593049553221
age_differential,0.015898140033486743,0.00033726137500866317
atp_rank_differential,0.007724290360327194,0.00036938913876790756
p_1st_won_last3_differential,0.0028247310277199843,9.865757602830108e-05
atp_points_differential,0.001933284145136982,0.00016554554213450172
best_of,0.001680081709874859,8.811524188756683e-05
p_1st_won_last10_differential,0.0014412807253386154,6.497584009829855e-05
p_1st_won_last5_differential,0.0012988318091317508,6.159261821161898e-05
wins_last20_differential,0.0012757287125078954,0.00015342415933962904
p_2nd_won_last3_differential,0.001135386184890382,5.7933642608020394e-05
p_2nd_won_last10_differential,0.0011186068902531376,7.101462017801304e-05
p_df_last5_differential,0.0010308580349113416,6.667962719842853e-05
p_2nd_won_last5_differential,0.0010210453050656597,6.236099830136556e-05
p_ace_last3_differential,0.0009692078725611175,6.527168588156254e-05
p_1st_in_last3_differential,0.0009310522045976525,5.3892281750415437e-05
p_2nd_won_last20_differential,0.0008804696103521674,5.7496638722507915e-05
p_df_last3_differential,0.0008060291620399415,2.3563553970176465e-05
elo_gradient_5_differential,0.0007788585248769945,3.8180252834879725e-05
elo_gradient_10_differential,0.000724731557384232,3.905096386366906e-05
p_bp_saved_last20_differential,0.0006590031943463008,2.3112600023937096e-05
p_ace_last5_differential,0.0006339314710531952,4.03633138640418e-05
p_1st_in_last20_differential,0.0005636833311729594,2.3499410884042373e-05
h2h_differential,0.0005555526655409038,3.5261290768801784e-05
p_1st_won_last20_differential,0.0005393549167015029,3.831067712665617e-05
p_1st_in_last10_differential,0.0005196946696022071,3.5806959281212274e-05
p_df_last10_differential,0.0005143988150198823,3.47064713191095e-05
p_ace_last10_differential,0.00046547002613261945,1.4426227122124414e-05
h2h_surface_differential,0.0004509181348483882,3.728739111889816e-05
p_ace_last20_differential,0.0004425749916394957,1.97892857366053e-05
elo_gradient_3_differential,0.000414146046938361,1.5240369223003305e-05
elo_gradient_20_differential,0.00039114996180603285,1.1034349455732196e-05
p_bp_saved_last10_differential,0.0003894012558942839,1.605800396190404e-05
p_bp_saved_last5_differential,0.0003512060381488287,1.4189495359785188e-05
p_bp_saved_last3_differential,0.00033051995675157373,8.999727433492836e-06
wins_last5_differential,0.0003264204042278266,3.2526837547875706e-05
ht_differential,0.00030149360218533573,1.5939902357283496e-05
p_1st_in_last5_differential,0.0002870445592576913,1.0261102739066765e-05
p_df_last20_differential,0.00025409290459645165,1.4799739455862861e-05
wins_last3_differential,0.00018999913972597888,1.807069555764586e-05
draw_size,0.00012070568238281935,9.761539241634754e-06
wins_last10_differential,0.00010836996660275044,1.745965412975771e-05
elo_surface_gradient_5_differential,0.0,0.0
elo_surface_gradient_3_differential,0.0,0.0
elo_surface_gradient_10_differential,0.0,0.0
elo_surface_gradient_20_differential,0.0,0.0
